FID_,FIPSSTCO,TRT2000,STFID,OID_,SCTRACTW,FIPSPLACEW,CENSUSPLW,SCTRACTR,FIPSPLACER,CENSUCPLR,TRACTTOTRA,STFID_1,ID_ID,Distance
,24027,602305,24027602305,22,51059471200,48376,772,24027602305,26000,325,15,24027602305,85220,0.015738
,24027,606601,24027606601,1240,51059460500,23984,423,24027606601,19125,227,10,24027606601,85269,0.00686
,24027,606803,24027606803,25,51059471200,48376,772,24027606803,19125,227,10,24027606803,85294,0.009054
,24027,606802,24027606802,1475,51059460500,79952,1252,24027606802,56725,692,10,24027606802,85313,0.001642
,24027,606903,24027606903,1241,51059460500,23984,423,24027606903,56725,692,4,24027606903,85321,0.00181
,24027,606603,24027606603,1472,51059460500,79952,1252,24027606603,19125,227,4,24027606603,85323,0.009206
,24027,606604,24027606604,2325,51059480200,79952,1252,24027606604,19125,227,10,24027606604,85329,0.007003
,24027,606605,24027606605,1473,51059460500,79952,1252,24027606605,19125,227,10,24027606605,85334,0.007645
,24027,601101,24027601101,789,51059460400,79952,1252,24027601101,99999,9999,15,24027601101,85452,0.019189
,24027,606901,24027606901,1476,51059460500,79952,1252,24027606901,70487,870,10,24027606901,85471,0.001668
,24027,606902,24027606902,26,51059471200,48376,772,24027606902,70487,870,4,24027606902,85585,0.007061
,24027,606703,24027606703,1474,51059460500,79952,1252,24027606703,99999,9999,4,24027606703,85689,0.009798
,24027,605402,24027605402,2321,51059480200,79952,1252,24027605402,19125,227,15,24027605402,85704,0.011318
,24027,602306,24027602306,2317,51059480200,79952,1252,24027602306,26000,325,4,24027602306,85728,0.010461
,24027,605502,24027605502,305,51059471200,79952,1252,24027605502,19125,227,10,24027605502,85751,0.013006
,24027,605503,24027605503,2323,51059480200,79952,1252,24027605503,19125,227,10,24027605503,85754,0.007596
,24027,605501,24027605501,790,51059460400,79952,1252,24027605501,19125,227,10,24027605501,85765,0.010604
,24027,605602,24027605602,1471,51059460500,79952,1252,24027605602,19125,227,10,24027605602,85774,0.011453
,24027,606701,24027606701,306,51059471200,79952,1252,24027606701,19125,227,4,24027606701,85774,0.008418
,24027,601202,24027601202,2037,51059480200,48376,772,24027601202,25750,312,10,24027601202,85791,0.001052
,24027,605601,24027605601,24,51059471200,48376,772,24027605601,19125,227,10,24027605601,85898,0.017792
,24027,605102,24027605102,304,51059471200,79952,1252,24027605102,99999,9999,10,24027605102,86001,0.005839
,24027,602302,24027602302,21,51059471200,48376,772,24027602302,26000,325,4,24027602302,86043,0.002632
,24027,606804,24027606804,2332,51059480200,79952,1252,24027606804,19125,227,35,24027606804,86093,0.007217
,24027,601102,24027601102,1239,51059460500,23984,423,24027601102,26000,325,10,24027601102,86099,0.000771
,24029,950500,24029950500,2336,51059480200,79952,1252,24029950500,67400,845,4,24029950500,86834,0.027123
,24031,700500,24031700500,29,51059471200,48376,772,24031700500,62850,785,4,24031700500,86979,0.014882
,24031,700310,24031700310,2348,51059480200,79952,1252,24031700310,32025,402,15,24031700310,87070,0.006973
,24031,700819,24031700819,38,51059471200,48376,772,24031700819,32025,402,20,24031700819,87074,0.002292
,24031,700809,24031700809,36,51059471200,48376,772,24031700809,99999,9999,10,24031700809,87111,0.015785
,24031,700712,24031700712,35,51059471200,48376,772,24031700712,31175,385,4,24031700712,87142,0.001792
,24031,700713,24031700713,2040,51059480200,48376,772,24031700713,53325,632,10,24031700713,87161,0.009599
,24031,700812,24031700812,324,51059471200,79952,1252,24031700812,53325,632,20,24031700812,87161,0.022019
,24031,706008,24031706008,378,51059471200,79952,1252,24031706008,63300,792,15,24031706008,87231,0.005291
,24031,700206,24031700206,311,51059471200,79952,1252,24031700206,99999,9999,10,24031700206,87238,0.010421
,24031,700714,24031700714,1497,51059460500,79952,1252,24031700714,99999,9999,10,24031700714,87254,0.000162
,24031,700708,24031700708,804,51059460400,79952,1252,24031700708,31175,385,4,24031700708,87275,0.00745
